year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal,First_Name,Last_Name
1932.0,Summer,Athletics,"Triple Jump, Men (Olympic)",Mehar Chand Dhawan,71384,IND,,14.0,False,,Mehar,Chand
1924.0,Summer,Athletics,"100 metres, Men (Olympic)",James Hall,71385,IND,,3.0,False,,James,Hall
1924.0,Summer,Athletics,"200 metres, Men (Olympic)",James Hall,71385,IND,,4.0,False,,James,Hall
1924.0,Summer,Athletics,"400 metres, Men (Olympic)",James Hall,71385,IND,,,False,,James,Hall
1924.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",James Hall,71385,IND,British India,,False,,James,Hall
1924.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",James Hall,71385,IND,British India,,False,,James,Hall
1928.0,Summer,Athletics,"200 metres, Men (Olympic)",James Hall,71385,IND,,4.0,False,,James,Hall
1928.0,Summer,Athletics,"400 metres, Men (Olympic)",James Hall,71385,IND,,5.0,False,,James,Hall
1928.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",James Hall,71385,IND,British India,,False,,James,Hall
1928.0,Summer,Athletics,"400 metres, Men (Olympic)",S. Abdul Hamid,71386,IND,,,False,,S.,Abdul
1928.0,Summer,Athletics,"110 metres Hurdles, Men (Olympic)",S. Abdul Hamid,71386,IND,,4.0,False,,S.,Abdul
1928.0,Summer,Athletics,"400 metres Hurdles, Men (Olympic)",S. Abdul Hamid,71386,IND,,6.0,False,,S.,Abdul
1928.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",S. Abdul Hamid,71386,IND,British India,,False,,S.,Abdul
1924.0,Summer,Athletics,"100 metres, Men (Olympic)",Will Hildreth,71387,IND,,4.0,False,,Will,Hildreth
1924.0,Summer,Athletics,"200 metres, Men (Olympic)",Will Hildreth,71387,IND,,8.0,False,,Will,Hildreth
1924.0,Summer,Athletics,"400 metres, Men (Olympic)",Will Hildreth,71387,IND,,,False,,Will,Hildreth
1924.0,Summer,Athletics,"400 metres Hurdles, Men (Olympic)",Will Hildreth,71387,IND,,,False,,Will,Hildreth
1924.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",Will Hildreth,71387,IND,British India,,False,,Will,Hildreth
1924.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",Will Hildreth,71387,IND,British India,,False,,Will,Hildreth
1924.0,Summer,Athletics,"Marathon, Men (Olympic)",Mahadeo Singh,71388,IND,,29.0,False,,Mahadeo,Singh
1952.0,Summer,Athletics,"400 metres, Men (Olympic)",Ivan Jacob,71389,IND,,6.0,False,,Ivan,Jacob
1960.0,Summer,Athletics,"100 metres, Men (Olympic)",Raj Joshi Tilak,71390,IND,,7.0,False,,Raj,Joshi
1960.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",Raj Joshi Tilak,71390,IND,India,,False,,Raj,Joshi
1968.0,Summer,Athletics,"Discus Throw, Men (Olympic)",Praveen Kumar,71391,IND,,,False,,Praveen,Kumar
1968.0,Summer,Athletics,"Hammer Throw, Men (Olympic)",Praveen Kumar,71391,IND,,20.0,False,,Praveen,Kumar
1972.0,Summer,Athletics,"Discus Throw, Men (Olympic)",Praveen Kumar,71391,IND,,26.0,False,,Praveen,Kumar
1980.0,Summer,Athletics,"1,500 metres, Men (Olympic)",Sant Kumar,71392,IND,,8.0,False,,Sant,Kumar
1924.0,Summer,Athletics,"110 metres Hurdles, Men (Olympic)",Cheruvari Lakshmanan,71393,IND,,5.0,False,,Cheruvari,Lakshmanan
1924.0,Summer,Athletics,"400 metres Hurdles, Men (Olympic)",Cheruvari Lakshmanan,71393,IND,,,False,,Cheruvari,Lakshmanan
1924.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",Cheruvari Lakshmanan,71393,IND,British India,,False,,Cheruvari,Lakshmanan
